101	101
103	102
103	103
103	104
106	105
106	106
106	107
109	108
109	109
109	110
112	111
112	112
112	113
114	114
115	115
116	116
117	117
118	118
119	119
120	120
201	201
203	202
203	203
203	204
206	205
206	206
206	207
209	208
209	209
212	211
212	212
212	213
214	214
215	215
216	216
218	217
218	218
218	219
221	220
221	221
221	222
224	223
224	224
224	225
227	226
227	227
229	229
230	230
232	232
233	233
234	234
235	235
236	236
301	301
302	302
303	303
304	304
305	305
306	306
307	307
308	308
309	309
310	310
311	311
312	312
313	313
314	314
315	315
316	316
317	317
318	318
319	319
320	320
321	321
322	322
323	323
324	324
325	325
326	326
327	327
328	328
329	329
330	330
331	331
331	346
332	332
332	347
333	333
333	348
334	334
334	349
335	335
335	350
336	336
336	351
337	337
337	352
338	338
338	353
339	339
339	354
340	340
340	355
341	341
342	342
342	357
343	343
344	344
344	359
345	345
345	360
