Coder,ID,Timestamp,Who?,What?,Re Who?,To Whom?,,,,,,,,,,,,
SM,C107 F412 SM1,00:05:26.0,CG,HUPW,OUR,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:05:52.0,CHW,GINFO+,O,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:05:55.0,CG,HUPW,FAM,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:06:01.0,CHW,CQECHT+,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:06:05.0,PT,CHT+,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:06:07.0,CHW,GINFO+,Y,B,,,,,,,,,,,,
SM,C107 F412 SM1,00:07:16.0,CG,HUPW,CG,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:07:18.0,CHW,GINFO+,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:07:23.0,PT,LUP+,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:07:25.0,CHW,GINFO+,OUR,B,,,,,,,,,,,,
SM,C107 F412 SM1,00:07:27.0,CG,HUPW,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:07:28.0,CHW,GINFO+,Y,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:07:29.0,PT,LUP+,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:07:30.0,CG,HUPW,CG,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:07:31.0,CHW,GINFO+,O,B,,,,,,,,,,,,
SM,C107 F412 SM1,00:07:47.0,PT,HUPW,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:07:50.0,CHW,GINFO-,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:07:59.0,CG,HUPW,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:08:11.0,CHW,GINFO-,Y,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:08:25.0,PT,HUPW,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:08:27.0,CHW,GINFO+,O,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:08:31.0,CG,HUPW,O,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:08:32.0,CHW,EA,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:08:41.0,CG,HUPW,CG,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:08:42.0,PT,HUPW,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:08:43.0,CHW,GINFO+,CHW,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:08:44.0,CG,HUPW,OUR,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:08:51.0,PT,HUPW,Y,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:08:54.0,CG,HUPW,CG,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:08:59.0,CHW,CQTBN,CG,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:09:03.0,PT,HUPW,FAM,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:09:05.0,CHW,SO ,CHW,B,,,,,,,,,,,,
SM,C107 F412 SM1,00:09:06.0,CG,HUPW,FAM,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:09:09.0,PT,HUPW,FAM,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:09:10.0,CHW,SO,CHW,B,,,,,,,,,,,,
SM,C107 F412 SM1,00:09:11.0,CG,HUPW,O,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:09:12.0,CHW,SO,CHW,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:09:13.0,PT,HUPW,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:09:15.0,CG,HUPW,CG,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:09:25.0,CHW,ADV-,CG,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:09:35.0,CG,HUPW,CG,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:09:42.0,CHW,GINFO-,WE,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:09:48.0,CG,HUPW,O,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:09:52.0,CHW,GINFO-,CHW,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:09:54.0,CG,HUPW,CG,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:09:56.0,CHW,GINFO-,CHW,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:09:59.0,CG,HUPW,CG,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:10:04.0,CHW,SS,OUR,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:10:07.0,O,HUPI,O,NO,,,,,,,,,,,,
SM,C107 F412 SM1,00:10:08.0,PT,HUPW,CHW,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:10:12.0,CG,HUPW,O,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:10:14.0,PT,HUPW,O,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:10:16.0,CG,HUPW,O,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:10:17.0,PT,HUPW,O,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:10:18.0,CG,LUP+,CG,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:10:19.0,PT,HUPW,O,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:10:23.0,CG,HUPW,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:10:26.0,PT,HUPW,Y,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:10:27.0,CG,HUPW,FAM,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:10:30.0,PT,HUPW,FAM,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:10:32.0,CG,HUPW,FAM,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:10:34.0,PT,HUPW,Y,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:10:35.0,CG,HUPW,FAM,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:10:37.0,PT,HUPW,Y,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:10:37.0,CG,HUPW,CG,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:10:40.0,CHW,GINFO-,CHW,B,,,,,,,,,,,,
SM,C107 F412 SM1,00:10:43.0,CHW,GINFO-,CHW,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:10:44.0,CG,HUPW,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:10:49.0,CHW,ADV-,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:10:54.0,CG,HUPW,Y,Y,,,,,,,,,,,,
