
1,6403.18614741,6328.57399613
2,6175.59727261,6015.71409129
3,6296.4736379,6044.21350737
4,6450.11429803,6098.37129912
5,6570.50838364,6112.17659719
6,6707.49202738,6135.46553421
7,6923.16665111,6230.33953205
8,7103.28705578,6282.55339166
9,7330.26601196,6374.51988361
10,7526.19326619,6428.32875445
11,7780.38048607,6533.29167177
12,8026.38027573,6622.96123969
13,8226.20975953,6659.35458258
14,8490.53450438,6753.13726735
15,8750.96815652,6835.92294025
16,9025.16045429,6925.3613396
17,9324.66968285,7033.01075057
18,9660.436535,7169.81186597
19,9977.19596914,7280.49964418
20,10306.8216367,7396.94773665
21,10659.7175506,7529.56015629
22,11022.8072424,7665.26043463
23,11380.1045723,7788.0624319
24,11744.5606582,7910.91726604
25,12148.4603379,8066.10977484
