,C:AF,C:AR,C:EA,C:GINFON,C:GINFOP,C:QEB,C:QECHTP,C:QECMLP,C:QEF,C:QEST,C:QO,C:RCHTP,C:RCMLP,C:RO,C:RST,C:SO,C:SPT,C:SS,C:SUM,CL:HUPO,CL:HUPW,CL:LUPP
state1,0.1346,0.0525,0.0384,0.0059,0.0648,0.0019,0.0101,0.047,0.0049,0.0166,0.0174,0.1974,0.0719,0.019,0.1172,0.0333,0.0357,0.0473,0.059,0.003,0.0206,0.0015
state2,0.0333,0.005,0.0555,0.0001,0.1109,0.0703,0.0751,0.0127,0.032,0.016,0.0169,0.0054,0.0105,0.0516,0.0359,0.0025,0.0054,0.0189,0.0029,0.112,0.0389,0.2879
